,Ticker_x,year,EBITDA,Total Debt,Free Cash Flow,Gross Profit Margin,Operating Margin,Net Profit Margin,Return on Equity,Return on Assets,Free Cash Flow to Net Income,Current Ratio,Liabilities to Equity Ratio,Debt Ratio,"Earnings Per Share, Basic","Earnings Per Share, Diluted",Sales Per Share,Equity Per Share,Free Cash Flow Per Share,Pietroski F-Score,Economic growth: the rate of change of real GDP,GDP per capita current U.S. dollars,Inflation: percent change in the Consumer Price Index,Unemployment rate,Net portfolio equity inflows,Economic growth forecast,Inflation forecast,Unemployment rate forecast,Political stability index (-2.5 weak; 2.5 strong),Interest rates on bank credit to the private sector,Open,profit/loss
169,AGYS,2014,-6924000.0,189000.0,-13277000.0,0.58041,-0.08838,-0.11107,-0.09258,-0.06334,1.15482,2.07502,0.4617,0.00104,-0.51468,-0.51468,4.63399,5.5595,-0.59437,3.0,2.53,55049.99,1.6,6.17,154312.0,2.29,0.52,6.16,0.58,3.25,11.76,0.7872
170,AGYS,2015,-1651000.0,333000.0,-4077000.0,0.56582,-0.03199,-0.03128,-0.03049,-0.02033,1.08287,1.76527,0.49957,0.0018,-0.16746,-0.16746,5.35364,5.49184,-0.18134,4.0,3.08,56863.37,0.1,5.28,-187306.0,2.71,0.7,5.28,0.68,3.26,11.07,0.6824
171,AGYS,2016,-7438000.0,237000.0,-10251000.0,0.49958,-0.07712,-0.0918,-0.10312,-0.07006,0.87458,1.58664,0.47186,0.00142,-0.51828,-0.51828,5.64572,5.02627,-0.45328,4.0,1.71,58021.4,1.3,4.87,-139700.99,1.67,2.18,4.88,0.4,3.51,11.06,0.6809
172,AGYS,2017,-7651000.0,177000.0,-17731000.0,0.50579,-0.08073,-0.06556,-0.07701,-0.05311,2.12347,1.43388,0.44983,0.00113,-0.36621,-0.36621,5.58572,4.75554,-0.77764,6.0,2.33,60109.66,2.1,4.36,149634.01,2.26,2.17,4.35,0.29,4.1,12.02,0.8267
173,AGYS,2018,-6701000.0,57000.0,-11768000.0,0.52456,-0.08358,-0.09347,-0.13083,-0.08047,0.89395,1.35517,0.6258,0.00035,-0.57143,-0.57143,6.11373,4.36784,-0.51083,5.0,3.0,63064.42,2.4,3.9,156916.01,2.92,1.91,3.89,0.42,4.9,16.34,1.4833
174,AGYS,2019,-4749000.0,49000.0,-9586000.0,0.50357,-0.06136,-0.21192,-0.47476,-0.22041,0.28139,1.34549,1.15396,0.00032,-1466.31946,-1.46632,6919.33887,3088.5809,-412.60276,4.0,2.16,65279.53,1.8,3.67,-244072.01,2.29,2.06,3.68,0.13,5.28,25.78,2.9179
175,AGYS,2020,-13438000.0,25000.0,-9596000.0,0.65154,-0.13289,-0.1721,-0.20469,-0.12434,0.40647,2.18439,0.64627,0.00013,-1.00639,-1.00639,5.84773,3.40506,-0.40907,6.0,-3.49,63543.58,1.2,8.31,725723.97,-3.41,1.55,8.11,-0.02,3.54,25.25,2.8374
176,AIMC,2010,77838000.0,216502000.0,57116000.0,0.29608,0.11112,0.04715,0.14886,0.04827,2.32889,2.79122,2.08404,0.4261,0.92901,0.92425,19.70385,6.24084,2.16357,5.0,2.56,48466.66,1.6,9.63,178952.99,2.71,1.69,9.61,0.44,3.25,15.02,0.0
177,AIMC,2011,97117000.0,264049000.0,58068000.0,0.29107,0.10734,0.05583,0.18079,0.0598,1.54129,3.2382,2.02302,0.41914,1.4203,1.41163,25.43964,7.85629,2.1891,5.0,1.55,49882.56,3.2,8.95,123357.0,1.55,3.09,8.93,0.59,3.25,11.4,-0.241
178,AIMC,2012,107423000.0,247595000.0,81374000.0,0.29857,0.10936,0.03319,0.10415,0.03838,3.34969,3.05719,1.71398,0.39112,0.91135,0.90795,27.46061,8.70393,3.05275,5.0,2.25,51602.93,2.1,8.07,239066.01,2.28,1.82,8.08,0.63,3.25,18.33,0.2204
179,AIMC,2013,100614000.0,278272000.0,102494000.0,0.29822,0.10065,0.05577,0.14899,0.05475,2.54485,2.49302,1.72146,0.37825,1.50471,1.5005,26.98266,10.0625,3.82926,5.0,1.84,53106.54,1.5,7.38,-62642.0,1.84,1.32,7.36,0.64,3.25,26.98,0.7963
180,AIMC,2014,109013000.0,255752000.0,104653000.0,0.30357,0.09377,0.049,0.1547,0.05938,2.60545,2.52335,1.60513,0.37811,1.50365,1.46579,30.68981,9.68663,3.91768,7.0,2.53,55049.99,1.6,6.17,154312.0,2.29,0.52,6.16,0.58,3.25,29.05,0.9341
181,AIMC,2015,101549000.0,234755000.0,106438000.0,0.30598,0.09566,0.04742,0.14596,0.05599,3.00621,2.75188,1.60683,0.37125,1.35843,1.35608,28.64687,9.30659,4.08372,6.0,3.08,56863.37,0.1,5.28,-187306.0,2.71,0.7,5.28,0.68,3.26,23.12,0.5393
182,AIMC,2016,93861000.0,369659000.0,88560000.0,0.31334,0.09023,0.03546,0.08872,0.0289,3.52267,2.00548,2.06981,0.42498,0.97749,0.97171,27.56351,11.01707,3.44337,5.0,1.71,58021.4,1.3,4.87,-139700.99,1.67,2.18,4.88,0.4,3.51,28.74,0.9134
183,AIMC,2017,122850000.0,275971000.0,101350000.0,0.31455,0.09906,0.05866,0.12964,0.05586,1.97075,2.51357,1.32076,0.29975,1.77647,1.76944,30.28557,13.70358,3.50098,8.0,2.33,60109.66,2.1,4.36,149634.01,2.26,2.17,4.35,0.29,4.1,48.3,2.2157
184,AIMC,2018,151100000.0,1708100000.0,131799999.0,0.32,0.07751,0.03003,0.0191,0.00814,3.73371,2.0884,1.34672,0.39383,0.93219,0.91975,31.03676,48.80638,3.48051,4.0,3.0,63064.42,2.4,3.9,156916.01,2.92,1.91,3.89,0.42,4.9,41.58,1.7683
185,AIMC,2019,366600000.0,1581800000.0,350800000.0,0.35783,0.12987,0.06935,0.06617,0.02969,2.75786,1.96438,1.22842,0.36926,1.97823,1.97209,28.52411,29.8958,5.45568,6.0,2.16,65279.53,1.8,3.67,-244072.01,2.29,2.06,3.68,0.13,5.28,27.88,0.8562
