Ticker,EBITDA,Total.Debt,Free.Cash.Flow,Gross.Profit.Margin,Operating.Margin,Net.Profit.Margin,Return.on.Equity,Return.on.Assets,Free.Cash.Flow.to.Net.Income,Current.Ratio,Liabilities.to.Equity.Ratio,Debt.Ratio,Earnings.Per.Share..Basic,Earnings.Per.Share..Diluted,Sales.Per.Share,Equity.Per.Share,Free.Cash.Flow.Per.Share,Dividends.Per.Share,Pietroski.F.Score,Economic growth: the rate of change of real GDP,GDP per capita current U.S. dollars,Inflation: percent change in the Consumer Price Index,Unemployment rate,Net portfolio equity inflows,Economic growth forecast,Inflation forecast,Unemployment rate forecast,Political stability index (-2.5 weak; 2.5 strong),1_year_results,3_year_results,6_year_results
VZ,48574000000.0,93591000000.0,39226000000.0,0.62765,0.26518,0.09537,0.12049,0.04194,3.41185,2.62455,1.87266,0.34145,4.01151,4.00035,42.06211,13.55059,13.68667,2.07118,6,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,3.19,5.75,11.0
WAB,488503000.0,450709000.0,439268000.0,0.2977,0.1704,0.11387,0.18412,0.10356,1.50313,2.30074,0.77801,0.15971,3.06124,3.01796,26.88363,16.606,4.60145,0.13245,4,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,21.1,-3.43,-38.62
WDC,3318000000.0,1955000000.0,3323000000.0,0.28422,0.13582,0.06384,0.12416,0.06982,3.39082,1.91241,0.77828,0.13928,4.06639,3.98374,63.6971,32.75104,13.78838,0.75104,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,5.89,-13.24,-52.42
WEC,1476100000.0,5242800000.0,982800000.0,0.59568,0.23901,0.12777,0.13543,0.03909,1.70211,1.03655,2.46423,0.35498,2.53691,2.51371,19.85501,18.59842,4.3181,1.44508,8,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,7.36,34.79,85.22
WEN,371072000.0,1463828000.0,320711000.0,0.26519,0.07049,0.01877,0.02357,0.01043,7.05061,2.63903,1.26124,0.33551,0.11587,0.11409,6.17362,4.91482,0.81692,0.18004,7,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,20.72,50.74,48.81
WERN,312745000.0,40000000.0,202537000.0,0.42462,0.06886,0.04277,0.11234,0.06409,2.33378,2.08465,0.75283,0.02954,1.19102,1.18191,27.84815,10.60191,2.77958,0.20019,7,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,23.8,2.36,35.26
WGO,49190000.0,0.0,30136000.0,0.10537,0.05531,0.03978,0.18716,0.10336,0.94314,3.18177,0.81074,0.0,1.13813,1.13429,28.60784,6.08118,1.07341,0.0,6,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,-27.81,5.53,3.55
WHR,1985000000.0,2453000000.0,1354000000.0,0.17572,0.07699,0.04406,0.16428,0.0532,1.63724,1.03356,2.0878,0.15781,10.42875,10.23515,236.68348,62.09332,17.0744,2.35813,7,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,37.34,18.72,-44.0
WINA,30166800.0,702300.0,22778700.0,0.96042,0.53355,0.32713,0.47796,0.34376,1.24941,2.91934,0.39039,0.01324,3.5967,3.47857,10.99457,7.52513,4.49375,0.19024,7,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,13.78,50.22,79.41
WIRE,85407000.0,0.0,46234000.0,0.11662,0.06097,0.0405,0.10274,0.08921,0.98559,6.88814,0.15166,0.0,2.26881,2.2592,56.01915,22.08266,2.23612,0.08,8,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,-23.35,-6.48,-8.25
WLK,1111272000.0,763879000.0,640593000.0,0.29298,0.25362,0.16237,0.25239,0.15032,1.04942,4.07324,0.67903,0.18811,4.58194,4.56293,28.21922,18.15437,4.80838,0.41461,6,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,9.95,-2.15,-40.34
WM,2412000000.0,10226000000.0,1425000000.0,0.34835,0.07717,0.00701,0.01633,0.00434,14.54082,0.82913,2.76591,0.45242,0.20954,0.2086,29.89737,12.20227,3.04682,1.46034,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,31.58,77.91,134.9
WMB,2150000000.0,11579000000.0,-774000000.0,0.55875,0.19461,0.06268,0.0482,0.01584,-1.8,0.84871,2.04248,0.42661,0.62962,0.62574,10.04469,7.12206,-1.13332,1.43788,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,22.15,-29.16,-66.33
WMK,171947000.0,0.0,95625000.0,0.27686,0.04222,0.02718,0.08775,0.06374,1.3066,2.09475,0.3767,0.0,2.72083,2.72083,100.102,31.00748,3.55504,1.2,4,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,0.7,20.13,-22.57
